cluster_uuid,center_lat,center_lon,singular,plural,combined_dict,is_dump,combined_string
20a0b274-b897-4ae1-a80c-98e4c36104fd,52.680162,-2.7589531000000003,4,1,"{'food.sweetWrappers': 1, 'food.paperFoodPackaging': 1, 'food.plasticFoodPackaging': 1, 'food.crisp_small': 1, 'softdrinks.waterBottle': 1}",True,"food.sweetWrappers 1, food.paperFoodPackaging 1, food.plasticFoodPackaging 1, food.crisp_small 1, softdrinks.waterBottle 1"
20a9ff51-a616-43ca-a09d-e72b4b0c2dd4,52.4702091,13.4431989,3,0,"{'smoking.butts': 1, 'softdrinks.bottleLid': 1, 'alcohol.bottleTops': 1}",False,"smoking.butts 1, softdrinks.bottleLid 1, alcohol.bottleTops 1"
20af4952-8b95-46bc-b5c6-a128759db23e,52.40621944444445,4.8345,1,0,{'alcohol.beerCan': 1},False,alcohol.beerCan 1
20afd012-67c2-4b5c-87fa-bb5e320b7aa5,52.46382777777778,4.807494444444443,1,0,"{'alcohol.beerCan': 1, 'brands.heineken': 1}",False,"alcohol.beerCan 1, brands.heineken 1"
20b49dcd-22de-4c3a-9a0d-311de1e10876,52.239967346191406,-3.37593674659729,0,1,"{'coffee.coffeeCups': 1, 'brands.tesco': 1}",True,"coffee.coffeeCups 1, brands.tesco 1"
20b5406a-b4dd-44f2-a426-aecf0959e819,48.3878288269043,16.203081130981445,5,0,{'smoking.butts': 5},False,smoking.butts 5
20c5c95b-30f6-4d46-bd0a-c96327608a54,-30.27575583333333,153.13307638888892,6,0,"{'alcohol.brokenGlass': 2, 'other.plastic': 3, 'alcohol.bottleTops': 1}",False,"alcohol.brokenGlass 2, other.plastic 3, alcohol.bottleTops 1"
20dd5bc1-a4fe-4250-8140-31386567d0ee,51.5152175694445,-0.156658763888885,2,0,"{'sanitary.gloves': 1, 'sanitary.facemask': 1}",False,"sanitary.gloves 1, sanitary.facemask 1"
20e2e07c-e912-47c1-855a-1fd11373b5b7,51.830375,-8.54934167,0,1,{'food.sweetWrappers': 1},True,food.sweetWrappers 1
20e4db18-621d-4d2d-be96-9562573649b3,37.233411111111,-122.06733055556002,1,0,{'softdrinks.bottleLabel': 1},False,softdrinks.bottleLabel 1
20eaa405-9cdd-4d24-beb1-c138b47bd920,52.507933616638184,-3.337715148925781,4,0,"{'sanitary.sanitaryOther': 1, 'food.plasticFoodPackaging': 1, 'food.paperFoodPackaging': 1, 'brands.mcdonalds': 1, 'other.plastic': 1}",False,"sanitary.sanitaryOther 1, food.plasticFoodPackaging 1, food.paperFoodPackaging 1, brands.mcdonalds 1, other.plastic 1"
20fafd04-3b94-4ad9-9979-d60098b39bae,52.514339814814825,4.719092592592593,3,0,"{'alcohol.beerCan': 2, 'brands.heineken': 2, 'softdrinks.tinCan': 1}",False,"alcohol.beerCan 2, brands.heineken 2, softdrinks.tinCan 1"
20fee22c-85c5-4dde-9034-027bf5c96d40,52.626463572184235,-2.9824035962422686,4,1,"{'coffee.coffeeCups': 1, 'brands.costa': 1, 'softdrinks.energy_can': 2, 'brands.redbull': 2, 'smoking.butts': 1, 'softdrinks.tinCan': 1, 'brands.pepsi': 1}",True,"coffee.coffeeCups 1, brands.costa 1, softdrinks.energy_can 2, brands.redbull 2, smoking.butts 1, softdrinks.tinCan 1, brands.pepsi 1"
211775f7-feca-4a9e-b960-70002205c89d,-30.2662409,153.1362875,1,0,{'food.plasticFoodPackaging': 1},False,food.plasticFoodPackaging 1
214afeff-3630-44e9-bc91-0451e9b00d2f,36.869633333333,-121.82135833333,0,1,{'other.other': 1},True,other.other 1
216c11f6-75d1-4869-be92-7a177e522cfd,53.143622,-6.0622116944444455,1,0,"{'food.paperFoodPackaging': 1, 'brands.supervalu': 1}",False,"food.paperFoodPackaging 1, brands.supervalu 1"
21774589-1e10-4082-af83-c0e69f6c24c2,53.140044499999995,-7.811045,0,1,{'other.other': 1},True,other.other 1
217ce6d5-9d91-41eb-ab44-82e62b418889,50.730336111111114,-1.7319888888888888,1,0,{'other.plastic': 1},False,other.plastic 1
218f32dc-1693-41ca-92ab-798c6a655ad0,52.500233333333256,4.751287152777785,8,0,"{'softdrinks.energy_can': 5, 'brands.redbull': 3, 'other.plastic': 1, 'softdrinks.tinCan': 2}",True,"softdrinks.energy_can 5, brands.redbull 3, other.plastic 1, softdrinks.tinCan 2"
2196c515-dd16-4d13-bb27-1836fbf796c6,52.58725357055664,-3.00758957862854,0,1,{'food.sweetWrappers': 1},True,food.sweetWrappers 1
21973d18-2bfe-4a1a-9ebc-e43c679a40ab,52.532315572102874,-3.0413908958435063,4,1,"{'food.sweetWrappers': 1, 'brands.cadburys': 1, 'softdrinks.juice_packet': 1, 'alcohol.beerCan': 1, 'other.plastic': 1, 'brands.stella': 1, 'food.crisp_small': 1}",True,"food.sweetWrappers 1, brands.cadburys 1, softdrinks.juice_packet 1, alcohol.beerCan 1, other.plastic 1, brands.stella 1, food.crisp_small 1"
219f072e-b9ed-4b57-846e-c42c00b5bc32,51.87072500000001,-8.490171669999999,1,0,{'smoking.cigaretteBox': 1},False,smoking.cigaretteBox 1
219fec11-3fcd-4921-9e67-33aace742d35,37.265719444444436,-121.8404777777778,0,1,{'food.sweetWrappers': 1},True,food.sweetWrappers 1
21ac9237-37a8-4ffc-a866-7adf408c4e54,52.50400277777775,4.749731249999974,4,0,"{'alcohol.beerCan': 4, 'brands.heineken': 2}",False,"alcohol.beerCan 4, brands.heineken 2"
21b75c88-ef96-43bd-aa33-31738f3ebc03,50.91750833333333,-1.5353611111111107,1,0,{'other.plastic': 1},False,other.plastic 1
21be0ba9-07e9-4476-84c0-b69fe0001fbf,52.51377893575846,-3.3114452903361005,9,0,"{'food.paperFoodPackaging': 7, 'brands.mcdonalds': 1, 'smoking.butts': 2}",True,"food.paperFoodPackaging 7, brands.mcdonalds 1, smoking.butts 2"
21c1ec04-6ee0-40c8-8f54-98d7a57216c0,52.41375833333333,4.923722222222223,1,0,{'softdrinks.tinCan': 1},False,softdrinks.tinCan 1
21c3cee2-4c1e-48f6-b0cc-8f69a24927e4,-16.775371299722227,145.675646,1,0,{'food.plasticFoodPackaging': 1},False,food.plasticFoodPackaging 1
21ccf127-0749-4fca-97a3-1e6c4b098ed9,52.49631979166666,4.71590451388889,8,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1, 'softdrinks.tinCan': 3, 'softdrinks.waterBottle': 4}",True,"softdrinks.energy_can 1, brands.redbull 1, softdrinks.tinCan 3, softdrinks.waterBottle 4"
21de2f73-83c7-438d-ac92-6bce190eb77c,51.522246,-0.14846888888889,1,0,{'sanitary.gloves': 1},False,sanitary.gloves 1
21df4edf-b1a7-4ca5-bf61-9595181026a8,55.45058055555555,-5.694263888888887,49,21,"{'coffee.coffeeCups': 3, 'coffee.coffeeLids': 8, 'softdrinks.waterBottle': 23, 'softdrinks.tinCan': 16, 'other.plastic': 10, 'other.other': 10}",True,"coffee.coffeeCups 3, coffee.coffeeLids 8, softdrinks.waterBottle 23, softdrinks.tinCan 16, other.plastic 10, other.other 10"
21e41208-2308-4104-8009-47243b240e9e,39.0456657,-95.6993755,1,0,{'food.plasticFoodPackaging': 1},False,food.plasticFoodPackaging 1
21e4b1e5-5948-45e0-8143-593dc502f5f8,53.3845902,-6.2156889,1,0,{'sanitary.facemask': 1},False,sanitary.facemask 1
21f0c23d-f225-4924-a21c-56d741c0dde0,10.981383888888884,106.66329108333332,1,2,"{'food.sweetWrappers': 1, 'food.styrofoam_plate': 1, 'food.foodOther': 1}",True,"food.sweetWrappers 1, food.styrofoam_plate 1, food.foodOther 1"
21f41ee7-8544-4287-8b03-900e0efeb157,-33.89120833333333,151.19901944444445,1,0,{'other.paper': 1},False,other.paper 1
220fa613-ebfb-40b7-8797-85c096efbc8e,43.803440277777774,-70.20997222222222,2,0,"{'smoking.butts': 1, 'other.paper': 1}",False,"smoking.butts 1, other.paper 1"
22119a4f-c9eb-46d3-a34e-bd1c231b9d1c,52.68065000000001,-8.695054629629633,3,0,"{'alcohol.paperCardAlcoholPackaging': 1, 'softdrinks.fizzyDrinkBottle': 1, 'softdrinks.waterBottle': 1}",False,"alcohol.paperCardAlcoholPackaging 1, softdrinks.fizzyDrinkBottle 1, softdrinks.waterBottle 1"
2212a8a2-bf5b-4c84-99e2-331b60842c5d,51.40623667,-3.4823716700000005,0,1,{'other.batteries': 1},True,other.batteries 1
221c5ce8-9981-4792-9746-aa266441bd42,36.30755092592592,-82.36795,2,1,"{'smoking.cigaretteBox': 1, 'food.sweetWrappers': 1, 'softdrinks.straws': 1}",True,"smoking.cigaretteBox 1, food.sweetWrappers 1, softdrinks.straws 1"
221e4bdc-0b33-4a93-b520-4a2e7e5b9f45,52.63482284545898,-3.002617359161377,2,1,"{'smoking.butts': 1, 'food.sweetWrappers': 1, 'softdrinks.waterBottle': 1}",True,"smoking.butts 1, food.sweetWrappers 1, softdrinks.waterBottle 1"
221e94b3-c6ad-4277-8150-60e70c8853ef,52.526870707070714,4.730620454545455,11,0,"{'softdrinks.energy_can': 5, 'other.plastic': 2, 'softdrinks.waterBottle': 4}",True,"softdrinks.energy_can 5, other.plastic 2, softdrinks.waterBottle 4"
22244531-fb8a-4c36-9c3c-06e59b54218e,-33.88450833333333,151.19523703703703,4,0,"{'other.paper': 3, 'smoking.butts': 1}",False,"other.paper 3, smoking.butts 1"
222fdd7f-6f2d-42f9-8ba6-73932bf2c1d8,37.32569444444445,-121.95036666666668,1,1,"{'food.sweetWrappers': 1, 'smoking.cigaretteBox': 1}",True,"food.sweetWrappers 1, smoking.cigaretteBox 1"
